shot_id,shot_made_flag
1,0.48
8,0.43
17,0.59
20,0.58
33,0.5
34,0.62
35,0.42
36,0.49
37,0.54
38,0.39
45,0.35
50,0.36
55,0.41
60,0.39
66,0.27
67,0.29
71,0.44
80,0.19
85,0.28
86,0.72
95,0.63
104,0.51
113,0.49
123,0.28
126,0.84
133,0.31
141,0.46
144,0.58
150,0.34
152,0.47
153,0.36
156,0.47
159,0.84
165,0.72
172,0.61
182,0.81
192,0.53
193,0.33
196,0.46
202,0.19
210,0.36
211,0.46
228,0.75
257,0.51
260,0.58
264,0.38
267,0.82
279,0.84
282,0.57
293,0.36
299,0.83
300,0.79
301,0.78
317,0.5
327,0.46
328,0.2
335,0.57
346,0.6
348,0.34
365,0.46
390,0.71
391,0.63
392,0.71
397,0.53
418,0.57
428,0.53
434,0.73
439,0.68
440,0.54
456,0.38
459,0.3
472,0.35
480,0.28
491,0.51
497,0.56
509,0.49
511,0.42
523,0.24
533,0.58
544,0.49
546,0.51
555,0.68
558,0.32
560,0.4
573,0.35
591,0.5
596,0.42
597,0.51
601,0.6
605,0.45
617,0.31
628,0.3
634,0.56
646,0.33
649,0.66
651,0.68
654,0.78
656,0.48
657,0.43
669,0.36
670,0.91
693,0.73
694,0.49
699,0.35
711,0.43
718,0.35
722,0.33
723,0.28
725,0.79
734,0.46
735,0.6
737,0.63
746,0.29
747,0.56
766,0.28
767,0.52
771,0.29
773,0.26
774,0.27
783,0.21
784,0.4
789,0.38
792,0.39
804,0.34
809,0.61
812,0.3
813,0.46
817,0.48
820,0.28
825,0.41
826,0.45
829,0.4
855,0.28
859,0.86
862,0.33
870,0.23
876,0.47
880,0.35
886,0.97
889,0.92
891,0.59
897,0.92
902,0.19
903,0.36
908,0.29
909,0.48
920,0.4
922,0.42
924,0.6
932,0.38
934,0.27
937,0.3
941,0.39
943,0.36
950,0.46
952,0.28
954,0.89
963,0.45
975,0.42
979,0.55
981,0.49
983,0.26
985,0.54
989,0.61
995,0.45
998,0.15
1008,0.25
1019,0.71
1023,0.48
1026,0.4
1029,0.61
1034,0.87
1036,0.78
1038,0.21
1039,0.31
1051,0.48
1052,0.29
1066,0.34
1087,0.44
1092,0.29
1094,0.8
1098,0.41
1099,0.6
1102,0.36
1118,0.56
1131,0.4
1133,0.72
1135,0.85
1138,0.31
1139,0.73
1142,0.36
1151,0.4
1152,0.4
1155,0.58
1165,0.45
1167,0.69
1172,0.41
1174,0.73
1180,0.33
1200,0.5
1202,0.46
1227,0.58
1228,0.68
1229,0.39
1237,0.7
1241,0.55
1256,0.17
1279,0.39
1293,0.13
1295,0.38
1319,0.86
1320,0.43
1321,0.86
1322,0.83
1334,0.18
1351,0.71
1373,0.53
1375,0.38
1380,0.43
1382,0.69
1385,0.47
1399,0.33
1403,0.36
1428,0.32
1434,0.38
1444,0.89
1448,0.18
1466,0.77
1476,0.41
1478,0.57
1485,0.45
1491,0.6
1494,0.47
1500,0.45
1501,0.74
1503,0.34
1519,0.7
1524,0.36
1529,0.65
1533,0.71
1538,0.99
1539,0.43
1546,0.38
1555,0.36
1559,0.35
1563,0.74
1565,0.69
1574,0.34
1591,0.3
1594,0.3
1605,0.34
1611,0.64
1614,0.37
1620,0.6
1626,0.3
1630,0.38
1632,0.31
1634,0.28
1643,0.38
1651,0.39
1655,0.39
1658,0.26
1659,0.41
1665,0.21
1675,0.31
1680,0.82
1690,0.54
1696,0.32
1714,0.26
1721,0.47
1726,0.42
1728,0.26
1734,0.39
1735,0.36
1740,0.52
1744,0.8
1747,0.35
1752,0.22
1763,0.81
1765,0.82
1769,0.35
1785,0.8
1787,0.38
1788,0.52
1793,0.43
1800,0.46
1825,0.34
1826,0.83
1834,0.27
1843,0.36
1844,0.43
1848,0.31
1849,0.33
1860,0.26
1863,0.26
1875,0.69
1883,0.51
1890,0.39
1892,0.35
1893,0.47
1897,0.5
1905,0.5
1908,0.58
1931,0.31
1940,0.87
1943,0.37
1947,0.11
1965,0.6
1967,0.24
1968,0.43
1972,0.84
1982,0.28
1985,0.26
2005,0.85
2010,0.74
